date,dive_site,depth_start,depth_end,temperature_c,rug_5m,rug_10m,rug_15m,rug_20m,rug_25m,rug_30,total_pa,total_bu,total_da,total_sn,total_grn,total_su,total_an,total_wr,total_gr,total_po,total_tr,total_fl,total_lf,total_prg,total_jck,total_ch,total_bar
45596.0,Buoy Line,11,10,30,5,5,0,0,0,0,50,4,18,0,7,6,0,2,4,0,0,0,0,0,0,0,0
45596.0,Pandora,14,14,30,0,0,0,0,0,0,32,4,36,0,0,1,0,2,1,0,0,0,0,0,0,0,0
45597.0,Manuels Wall,14,12,30,0,0,0,0,0,0,86,8,29,0,0,0,0,2,2,0,0,0,0,0,0,0,0
45597.0,Casablanca,5,7,30,0,0,40,20,10,15,40,5,43,0,0,0,0,0,4,0,0,0,0,0,0,0,0
45598.0,Manuels Wall,10,10,30,0,0,0,0,0,0,47,4,24,0,0,0,0,1,4,0,0,0,0,0,0,0,0
45598.0,Grandmas Garden,11,9,30,0,70,0,30,0,10,36,3,22,0,2,1,0,2,4,0,0,0,0,0,0,0,0
45601.0,Buoy Line,11,10,30,0,0,0,0,0,0,49,4,14,0,16,1,0,1,2,0,0,0,0,0,0,0,0
45601.0,Casablanca,5,5,30,0,5,5,0,0,0,28,8,15,0,11,0,0,1,0,0,0,0,0,0,0,0,0
45602.0,Manuels Wall,14,12,29,20,65,30,0,70,5,21,7,16,4,5,0,0,0,6,0,0,0,0,0,0,0,0
45602.0,Pandora,14,13,29,0,0,20,0,5,50,8,1,16,1,25,0,0,0,0,0,0,0,0,0,3,0,0
45603.0,Pandora,13,12,29,65,65,60,0,20,0,23,5,24,13,48,2,0,0,9,0,0,0,0,0,0,0,0
45603.0,Casablanca,5,7,29,0,5,0,20,0,15,81,12,61,0,11,14,1,7,6,0,0,0,0,0,0,0,0
45673.0,Pandora,8.8,11.8,26,0,35,10,0,0,0,32,3,18,1,6,0,0,1,3,0,0,0,0,0,0,0,0
45673.0,Manuels Wall,9.2,10.1,26,10,15,0,20,15,0,48,6,16,0,0,0,0,2,1,0,0,0,0,0,0,0,0
45674.0,Casablanca,7,6.6,26,0,10,5,0,0,0,43,12,13,0,6,0,0,1,1,0,0,0,0,0,0,0,0
45674.0,Manuels Wall,10.3,9.8,27,0,20,25,0,0,0,22,7,15,0,1,0,0,7,0,0,0,0,0,0,0,0,0
45679.0,Casablanca,7.8,8.2,27,25,20,0,20,0,0,35,2,16,0,0,4,1,1,3,0,1,0,0,2,1,0,0
45680.0,Grandmas Garden,12.8,7,27,15,0,5,15,5,30,46,4,21,2,1,0,0,0,9,0,0,0,0,0,0,0,0
45680.0,Pandora,16,13.3,27,0,0,0,20,0,30,30,5,7,3,8,3,0,0,3,0,0,0,0,0,0,0,0
45682.0,Buoy Line,13.2,9.8,27,65,20,0,15,0,0,20,3,22,0,21,1,0,2,2,0,0,0,0,0,0,0,0
45682.0,Casablanca,9.8,7.9,27,0,0,15,15,0,0,60,7,16,0,2,1,1,4,3,0,0,0,0,0,0,0,0
45684.0,Pandora,13,12.6,28,20,20,15,0,40,0,35,2,16,6,4,3,0,4,7,0,0,0,0,0,0,0,0
